Mon,Tues,Wed,Thurs,Fri,Sat,Sun,Name,Link
,,Music,,Music,Music,,Westover Beer Garden,http://www.westovermarketbeergarden.com/live-music.html
,Trivia,EDM DJ,,Traditional Irish Music,Traditional Irish Music,,The Auld Shebeen,https://theauldshebeenva.com/entertainment/
See Schedule,See Schedule,See Schedule,See Schedule,See Schedule,See Schedule,See Schedule,Bourbon Boulevard,https://www.bbcbar.com/events-1
Open Mic,,"Trivia, Music",Karaoke,Karaoke,Karaoke,,Fat's Fairfax,https://www.fats-fairfax.com/
,Traditional Irish Music,,,Music,Music,,Ireland's Four Provinces,http://www.4psva.com/event
Music,Music,Music,Music,Music,Music,Music,JV's Restaurant,http://www.jvsrestaurant.com/calendar
Football,Latin Dancing,Karaoke,"Trivia, Football",Music,,,Kalypso's Sports Tavern,https://www.kalypsossportstavern.com/events
,,,Trivia,,,,Mustang Sally Brewing,https://www.msbrewing.com/taproom/events
,,Trivia,Line Dancing,Music,DJ,,Ned's Irish Gastropub,http://www.neddevines.com/events-and-live-bands.html
,,Trivia,,Live Music,Live Music,,The Old Brogue,https://oldbrogue.com/calendar-of-events-november
,,Trivia,,,Karaoke,,PJ Skidoos,http://www.pjskidoos.com/
,,,,Live Music,,,"Northside Social Arlington (Only certain times of the year, see website)",https://www.northsidesocialva.com/arlington-events/
Jazz,Jazz,Jazz,Jazz,Jazz,Jazz,Jazz,Laporta's,http://www.laportas.net/live-music/
Latin Dancing,See Schedule,Line Dancing,See Schedule,See Schedule,See Schedule,See Schedule,The Renegade,https://renegadeva.com/arlington-clarendon-the-renegade-va-lineup
See Schedule,Trivia,Run Club (7pm),See Schedule,See Schedule,See Schedule,See Schedule,Murphy's Irish Pub,https://murphyspub.com/events-live-music/
See Schedule,See Schedule,Trivia,See Schedule,See Schedule,See Schedule,See Schedule,The Light Horse Restaurant,https://thelighthorserestaurant.com/
,,Jazz,Jazz,Jazz,Jazz,,Lake Anne Coffee House,https://lakeannecoffeehouse.com/events-calendar/
,"Singo Bingo, Open Mic Night",,,,,,Ballston Local,https://ballstonlocal.com/arlington-ballston-ballston-local-events
